"","Port","Quarter","Vessel Rate","Crane Rate","Ship Rate","Containers"
"250","Tauranga","2015 Q4","70.5","35.6","86.6","161521"
"251","Napier","2015 Q4","44.99","24.35","58.4","31928"
"252","Wellington","2015 Q4","47.7","30","52.8","22286"
"253","Lyttelton","2015 Q4","50.1","31.3","61.7","64027"
"254","Otago","2015 Q4","52.5","33.6","62.9","27558"
"255","Auckland","2015 Q3","77.18","36.7","86.96","147443"
"256","Tauranga","2015 Q3","67.5","35.9","82.9","146029"
"257","Napier","2015 Q3","44.61","24.88","60.48","35722"
"258","Wellington","2015 Q3","44.8","29.8","51.63","20025"
"259","Lyttelton","2015 Q3","47.3","31.9","64.4","57722"
"260","Otago","2015 Q3","45.5","32.7","56.4","22365"
"261","Auckland","2015 Q2","80.13","37.33","91.29","144281"
"262","Tauranga","2015 Q2","62.4","35.6","83","146314"
"263","Napier","2015 Q2","43.09","23.35","54.41","45123"
"264","Wellington","2015 Q2","39.13","28.87","48.07","18679"
"265","Lyttelton","2015 Q2","42.8","31.4","61.3","62093"
"266","Otago","2015 Q2","47.8","32.2","58.4","29854"
"267","Auckland","2015 Q1","73.44","36.38","88.57","153091"
"268","Tauranga","2015 Q1","65.05","36.4","80.8","133124"
"269","Napier","2015 Q1","45.15","24.18","61.32","44927"
"270","Wellington","2015 Q1","47","30.9","54.43","19769"
"271","Lyttelton","2015 Q1","41.9","30.4","59.5","61905"
"272","Otago","2015 Q1","50.1","33.9","60.9","33530"
"273","Auckland","2014 Q4","72.76","33.26","81.38","151287"
"274","Tauranga","2014 Q4","63.7","34.8","76.9","143793"
"275","Napier","2014 Q4","43.99","23.78","58.33","33838"
"276","Wellington","2014 Q4","51.5","32","58.07","19306"
"277","Lyttelton","2014 Q4","44.4","30.5","60.9","67005"
"278","Otago","2014 Q4","48.4","33.6","59.3","29074"
"279","Auckland","2014 Q3","65.64","33.11","74.59","151291"
"280","Tauranga","2014 Q3","61","36.18","77.11","138906"
"281","Napier","2014 Q3","43.21","24.71","56.05","27082"
"282","Wellington","2014 Q3","49.33","32.7","58.9","17734"
"283","Lyttelton","2014 Q3","45.5","30.1","62","64738"
"284","Otago","2014 Q3","47.5","34.9","59.2","22948"
"285","Auckland","2014 Q2","73.72","33.97","83.57","158948"
"286","Tauranga","2014 Q2","62.26","37.2","76.26","128635"
"287","Napier","2014 Q2","36.53","22.33","48.25","39931"
"288","Wellington","2014 Q2","58.1","34.5","65.6","16961"
"289","Lyttelton","2014 Q2","44","27.3","58.1","66580"
"290","Otago","2014 Q2","47.5","32.6","59.1","31878"
"291","Auckland","2014 Q1","68.45","33.26","77.18","149299"
"292","Tauranga","2014 Q1","62.3","36.7","74.9","117869"
"293","Napier","2014 Q1","37.05","23","50.03","43159"
"294","Wellington","2014 Q1","55.67","34.2","65.33","17748"
"295","Lyttelton","2014 Q1","43.5","28.8","57.9","64072"
"296","Otago","2014 Q1","49.7","32.3","61.1","34248"
"297","Auckland","2013 Q4","71.28","32.96","80.1","154811"
"298","Tauranga","2013 Q4","59.9","36.5","72.63","126246"
"299","Napier","2013 Q4","43.22","24.3","57.92","30814"
"300","Wellington","2013 Q4","52.67","33.73","62.67","16906"
"301","Lyttelton","2013 Q4","44.5","28.8","59.6","69065"
"302","Otago","2013 Q4","60.6","33.5","74.2","32091"
"303","Auckland","2013 Q3","76.28","33.81","85.95","139561"
"304","Tauranga","2013 Q3","60.8","37.1","73.5","119175"
"305","Napier","2013 Q3","38.51","22.81","51.42","28231"
"306","Wellington","2013 Q3","50.87","33.7","61.53","14612"
"307","Lyttelton","2013 Q3","46.4","31.6","63.6","58302"
"308","Otago","2013 Q3","49","34.1","61.1","21559"
"309","Auckland","2013 Q2","67.67","32.51","76.06","130944"
"310","Tauranga","2013 Q2","57.9","35.6","70.5","135771"
"311","Napier","2013 Q2","41.01","22.39","53.41","41681"
"312","Wellington","2013 Q2","51.1","35.83","62.6","15670"
"313","Lyttelton","2013 Q2","43.5","29.2","59.9","63044"
"314","Otago","2013 Q2","49.9","33.1","60.9","32433"
"315","Auckland","2013 Q1","65.01","31.33","73.2","124059"
"316","Tauranga","2013 Q1","59.5","33.8","59.2","129596"
"317","Napier","2013 Q1","40.75","23.16","53.59","40180"
"318","Wellington","2013 Q1","50.8","34.77","58.6","14797"
"319","Lyttelton","2013 Q1","43.2","30.4","58.7","60475"
"320","Otago","2013 Q1","60.2","33.4","72.9","42168"
"321","Auckland","2012 Q4","69.31","32.09","78.53","125612"
"322","Tauranga","2012 Q4","42.6","34.5","65.9","144074"
"323","Napier","2012 Q4","35.44","22.12","45.63","27387"
"324","Wellington","2012 Q4","44.9","34.3","57.97","14954"
"325","Lyttelton","2012 Q4","46.7","30.5","60.2","62889"
"326","Otago","2012 Q4","51.6","34.1","64.5","30969"
"327","Auckland","2012 Q3","66.7","31.44","75.52","127197"
"328","Tauranga","2012 Q3","54.2","34.2","66.4","132553"
"329","Napier","2012 Q3","36.73","22.39","46.84","29404"
"330","Wellington","2012 Q3","48.6","33.7","49.4","15396"
"331","Lyttelton","2012 Q3","42.8","28.9","55","52972"
"332","Otago","2012 Q3","47.9","31.5","60.6","25639"
"333","Auckland","2012 Q2","56.84","29.77","64.03","119459"
"334","Tauranga","2012 Q2","47.8","31.2","55.6","146753"
"335","Napier","2012 Q2","38.51","23.33","51.21","39769"
"336","Wellington","2012 Q2","41.1","31.43","48.3","17184"
"337","Lyttelton","2012 Q2","42.7","27.4","53.6","56581"
"338","Otago","2012 Q2","48.4","32.4","60.9","31385"
"339","Auckland","2012 Q1","57.04","29.41","64.9","86299"
"340","Tauranga","2012 Q1","48.8","30.8","58.82","139653"
"341","Napier","2012 Q1","35.7","23.72","46.88","39259"
"342","Wellington","2012 Q1","36.13","31.93","45.77","20188"
"343","Lyttelton","2012 Q1","42.2","27.9","53","55402"
"344","Otago","2012 Q1","49.5","31.3","60.8","31407"
"345","Auckland","2011 Q4","56.81","28.4","64.1","131823"
"346","Tauranga","2011 Q4","58.16","33.81","66.6","111063"
"347","Napier","2011 Q4","32.31","22.78","43.34","24816"
"348","Wellington","2011 Q4","43.6","33.2","40.5","16498"
"349","Lyttelton","2011 Q4","41.2","27.7","52.5","57653"
"350","Otago","2011 Q4","45.1","31.2","56","27220"
"351","Auckland","2011 Q3","61.09","28.97","68.4","145062"
"352","Tauranga","2011 Q3","58.61","33.82","66.62","103550"
"353","Napier","2011 Q3","31.38","22.54","42.74","24051"
"354","Wellington","2011 Q3","48.5","33.57","46.43","15372"
"355","Lyttelton","2011 Q3","43.2","27.9","53.9","52572"
"356","Otago","2011 Q3","51.16","30.7","63.12","25298"
"357","Auckland","2011 Q2","57.23","28.75","64.73","138447"
"358","Tauranga","2011 Q2","53.43","33.27","59.88","98512"
"359","Napier","2011 Q2","33.9","21.99","45.76","37611"
"360","Wellington","2011 Q2","38.57","30.23","45.37","17323"
"361","Lyttelton","2011 Q2","42","27.9","52.6","49889"
"362","Otago","2011 Q2","50.27","27.7","60.58","44434"
"363","Auckland","2011 Q1","55","26.9","60.03","134574"
"364","Tauranga","2011 Q1","57.33","34.85","69","83046"
"365","Napier","2011 Q1","33.36","23.97","46.13","34638"
"366","Wellington","2011 Q1","35.07","31","42.97","15932"
"367","Lyttelton","2011 Q1","43.4","29.1","54.5","43942"
"368","Otago","2011 Q1","48.2","27.2","58.17","40834"
"369","Auckland","2010 Q4","52.4","25.12","57.4","141894"
"370","Tauranga","2010 Q4","55.99","35.1","64.93","92708"
"371","Napier","2010 Q4","35.25","23.84","44.97","21456"
"372","Wellington","2010 Q4","39.43","31.93","49.6","18589"
"373","Lyttelton","2010 Q4","44.2","29.1","55.4","50692"
"374","Otago","2010 Q4","51.64","28.7","55.87","38787"
"375","Auckland","2010 Q3","50.95","24.96","56.54","137443"
"376","Tauranga","2010 Q3","52.12","34.5","66.93","87201"
"377","Napier","2010 Q3","32.02","22.54","43.48","20955"
"378","Wellington","2010 Q3","36.8","30.5","46.07","16969"
"379","Lyttelton","2010 Q3","43.4","29.1","55.4","46213"
